No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1,,1207,2025-10-16,BANJIR,Kecamatan:\nKec. Percut Sei Tuan,Deli Serdang,Sumatera Utara,Dokumentasi,,,,,0,891,0
2,,9110,2025-10-16,GEMPABUMI,"Kecamatan:\nDistrik Sarmi Kota
Distrik Sarmi Selatan
Distrik Pantai Timur Bagian Barat
Distrik TOR Atas
Distrik Pantai Barat",Sarmi,Papua,Dokumentasi,,,,,50,,8
3,,5206,2025-10-16,KEKERINGAN,"Kecamatan:\nKec. Palibelo
Kec. Saromandi",Bima,Nusa Tenggara Barat,Dokumentasi,,,,,0,,0
4,,3314,2025-10-15,CUACA EKSTREM,Kecamatan:\nKec. Sambungmacan,Sragen,Jawa Tengah,Dokumentasi,,,,,6,,5
5,,3403,2025-10-15,CUACA EKSTREM,"Kecamatan:\nKapanewon  Mlati
Kapanewon Sleman
Kapanewon Gamping
Kapanewon Nglipar
Kapanewon Sermin
Kapanewon Ngawen
Kemantren Umbulharjo
Kemantren Tegalrejo",Gunungkidul,Daerah Istimewa Yogyakarta,Dokumentasi,,,,,0,,0
6,,3471,2025-10-15,CUACA EKSTREM,"Kecamatan:\nKapanewon  Mlati
Kapanewon Sleman
Kapanewon Gamping
Kapanewon Nglipar
Kapanewon Sermin
Kapanewon Ngawen
Kemantren Umbulharjo
Kemantren Tegalrejo",Kota Yogyakarta,Daerah Istimewa Yogyakarta,Dokumentasi,,,,,0,,0
7,,3404,2025-10-15,CUACA EKSTREM,"Kecamatan:\nKapanewon  Mlati
Kapanewon Sleman
Kapanewon Gamping
Kapanewon Nglipar
Kapanewon Sermin
Kapanewon Ngawen
Kemantren Umbulharjo
Kemantren Tegalrejo",Sleman,Daerah Istimewa Yogyakarta,Dokumentasi,,,,9,6,,4
8,,7202,2025-10-15,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Pamona Tenggara,Poso,Sulawesi Tengah,Dokumentasi,,,,,0,,0
9,,3528,2025-10-15,CUACA EKSTREM,Kecamatan:\nKec. Palengaan,Pamekasan,Jawa Timur,Dokumentasi,,,,6,0,,0
10,,3327,2025-10-15,CUACA EKSTREM,Kecamatan:\nKec. Belik,Pemalang,Jawa Tengah,Dokumentasi,,,,,8,,0
11,,3321,2025-10-15,CUACA EKSTREM,"Kecamatan:\nKec. Karangtengah
Kec. Demak
Kec. Trengguli
Kec. Wonosalam
Kec. Guntur",Demak,Jawa Tengah,Dokumentasi,,,,,55,,7
12,,3310,2025-10-15,CUACA EKSTREM,Kecamatan:\nKec. Juwiring,Klaten,Jawa Tengah,Dokumentasi,,,,,5,,0
13,,3319,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Jekulo,Kudus,Jawa Tengah,Dokumentasi,,,,,0,,0
14,,6204,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Dusun Hilir,Barito Selatan,Kalimantan Tengah,Dokumentasi,,,,,0,,0
15,,6212,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec.Laung Tuhup,Murung Raya,Kalimantan Tengah,Dokumentasi,,,,,0,,0
16,,3319,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Dawe,Kudus,Jawa Tengah,Dokumentasi,,,,,0,,0
17,,3203,2025-10-14,CUACA EKSTREM,"Kecamatan:\nKec. Cilaku
Kec. Cibeber",Cianjur,Jawa Barat,Dokumentasi,,,,,9,,0
18,,1610,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Muara Kuang,Ogan Ilir,Sumatera Selatan,Dokumentasi,,,,,0,,0
19,,3505,2025-10-14,CUACA EKSTREM,"Kecamatan:\nKec. Nglegok
Kec. Garum
Kec. Kanigoro",Blitar,Jawa Timur,Dokumentasi,,,,,46,,2
20,,5205,2025-10-14,CUACA EKSTREM,Kecamatan:\nKec. Woja,Dompu,Nusa Tenggara Barat,Dokumentasi,,,,,0,,0
21,,1705,2025-10-14,BANJIR,Kecamatan:\nKec. Seluma Utara,Seluma,Bengkulu,Dokumentasi,,1,,,0,,0
22,,6204,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Dusun Utara,Barito Selatan,Kalimantan Tengah,Dokumentasi,,,,,0,,0
23,,6205,2025-10-14,KEBAKARAN HUTAN DAN LAHAN,"Kecamatan:\nKec. Teweh
Kecamatan Gunung Timang
Kecamatan Lahei",Barito Utara,Kalimantan Tengah,Dokumentasi,,,,,0,,0
24,,1218,2025-10-14,BANJIR,Kecamatan:\nKec. Sei Rampah,Serdang Bedagai,Sumatera Utara,Dokumentasi,,,,,0,698,0
25,,3329,2025-10-13,TANAH LONGSOR,Kecamatan:\nKec. Sirampog,Brebes,Jawa Tengah,Dokumentasi,,,,,18,,0
26,,3516,2025-10-13,KEBAKARAN HUTAN DAN LAHAN,Kecamatan:\nKec. Sooko,Mojokerto,Jawa Timur,Dokumentasi,,,,,0,,0
27,,3303,2025-10-13,CUACA EKSTREM,"Kecamatan:\nKec. Kalimanah
Kec. Karanganyar",Purbalingga,Jawa Tengah,Dokumentasi,,,,1,8,,0
28,,3301,2025-10-13,CUACA EKSTREM,Kecamatan:\nKec. Kedungreja,Cilacap,Jawa Tengah,Dokumentasi,,,,,6,,0
29,,3310,2025-10-13,CUACA EKSTREM,"Kecamatan:\nKec. Trucuk
Kec. Wedi 
Kec. Bayat
Kec. Polanharjo",Klaten,Jawa Tengah,Dokumentasi,,,,1,11,,4
30,,3310,2025-10-13,CUACA EKSTREM,"Kecamatan:\nKec. Polanharjo
Ds. Keprabon
Kec. Trucuk
Ds. Palar
Ds. Keradenan
Ds. Mireng
Ds. Sabranglor
Ds. Gaden
Ds. Wonosari
Kec. Bayat
Ds. Banyuripan
Ds. Paseban
Kec. Widi
Ds. Melikan",Klaten,Jawa Tengah,Dokumentasi,,,,1,11,,3
31,,3314,2025-10-13,CUACA EKSTREM,Kecamatan:\nKec. Sragen,Sragen,Jawa Tengah,Dokumentasi,,,,,21,,0
32,,7315,2025-10-13,CUACA EKSTREM,Kecamatan:\nKec. Duampanua,Pinrang,Sulawesi Selatan,Dokumentasi,,,,,21,,0
33,,3513,2025-10-13,CUACA EKSTREM,Kecamatan:\nKec. Tiris,Probolinggo,Jawa Timur,Dokumentasi,,,,,0,,0
34,,3218,2025-10-13,BANJIR,"Kecamatan:\nKec. Cijulang 
Kec. Cimerak",Pangandaran,Jawa Barat,Dokumentasi,,,,,0,457,0
35,,3505,2025-10-13,CUACA EKSTREM,Kecamatan:\nKec. Garum,Blitar,Jawa Timur,Dokumentasi,,,,,12,,0
36,,3277,2025-10-13,CUACA EKSTREM,Kecamatan:\nKec. Cimahi Tengah,Kota Cimahi,Jawa Barat,Dokumentasi,,,,,32,,2
37,,3509,2025-10-13,CUACA EKSTREM,"Kecamatan:\nKec. Sumbersari
Kec. Ajung
Kec. Kaliwates
Kec. Patrang",Jember,Jawa Timur,Dokumentasi,,2,,,17,,0
